year, track_id, track_artist, track_name
1922,TRSGHLU128F421DF83,Alberta Hunter,Don't Pan Me
1922,TRMYDFV128F42511FC,Barrington Levy,Warm And Sunny Day
1922,TRRAHXQ128F42511FF,Barrington Levy,Looking My Love
1922,TRFAFTK12903CC77B8,Barrington Levy,Warm And Sunny Day
1922,TRSTBUY128F4251203,Barrington Levy,Mandela You're Free
1922,TRODGCA128F4251206,Barrington Levy,Something In My Heart (Full Vocal)
1924,TRLOZBM128F4280BF6,Papa Charlie Jackson,Airy Man Blues
1924,TRZCBEO128F4285118,Vernon Dalhart,Wreck Of The Old 97
1924,TRTRZWN128F4285110,Vernon Dalhart,The Prisoner's Song
1924,TRTRKSF12903CFEDD7,Vernon Dalhart,Wreck Of The Old 97
1924,TRUCDNQ12903CBD343,Vernon Dalhart,The Prisoner's Song
1925,TRQYSYF128F935F350,Bessie Smith,Careless Love Blues
1925,TRBWPTA12903CA3ABB,Clarence Williams' Blue Five,Cast Away
1925,TRFECYI12903CB4B31,Clarence Williams' Blue Five,Pickin' On Your Baby
1925,TRDWQCO128F427F2E7,Clarence Williams' Blue Five,Pickin' On Your Baby
1925,TRZKAOZ128F4280C36,Papa Charlie Jackson,All I Want Is A Spoonful
1925,TRIOMVJ128F9309AD1,Papa Charlie Jackson,Maxwell Street Blues
1925,TRUEUUK128F92FD462,Papa Charlie Jackson,Shake That Thing
1926,TRZEFIX128F429FE58,Bertha "Chippie" Hill,Georgia Man
1926,TRLRJYC128F930CB57,Bertha "Chippie" Hill,Trouble in Mind
1926,TRTRHTU12903CA2FB2,Bertha Chippie Hill,Trouble In Mind
1926,TRVIZZD128F424D240,Bessie Smith,The Gin House Blues
1926,TRCAMMU128F429F53E,Blind Blake,West Coast Blues
1926,TRSHCRH128F424ADD0,Blind Blake,West Coast Blues
1926,TRVICBU128F424ADCE,Blind Blake,West Coast Blues
1926,TRKQXPL128F424ADCC,Blind Blake,Early Morning Blues
1926,TRWYSVK128F933EC0D,Blind Lemon Jefferson,Dry Southern Blues
1926,TRRDLHN128F930B00A,Blind Lemon Jefferson,Long Lonesome Blues
1926,TRBHUOU128F423625E,Blind Lemon Jefferson,Long Lonesome Blues
1926,TRBFMCN128F423625D,Blind Lemon Jefferson,Got The Blues
1926,TRJEWFJ128F429F3B8,Blind Lemon Jefferson,Beggin' Back
1926,TRKUNOI128F429F3AF,Blind Lemon Jefferson,Booster Blues
1926,TRMJCFV12903D0DC48,Joe Venuti_ Eddie Lang,Black And Blue Bottom
1926,TRHKTCY128F9309AEF,Sippie Wallace,I'm A Mighty Tight Woman
1926,TRZWNLM12903CE9269,Sippie Wallace,Bedroom Blues
1926,TRTKLGM12903C96A25,Sippie Wallace,Bedroom Blues
1926,TRJZSAD128F93333A7,Sippie Wallace,I'm a Mighty Tight Woman
1927,TRHRVQV128F9307723,Bessie Smith,Lock And Key
1927,TRBSAFI128F4249FBD,Bessie Smith,After You've Gone
