year, track_id, track_artist, track_name
1960,TRRSTZT12903CBBBBF,101 Strings Orchestra,Serenade
1960,TRLOYHQ12903CFE165,101 Strings Orchestra,Greensleeves
1960,TRFVMPK128F93297FD,Art Taylor,Epistrophy
1960,TRBNGDS128F4264094,Arthur "Big Boy" Crudup,Rock Me Mama
1960,TRTEQEA128F92DA8D1,Arthur "Big Boy" Crudup,Coal Black Mare
1960,TRLTEAF128F42640B1,Arthur "Big Boy" Crudup,Look On Yonder Wall
1960,TRSVEKJ128F92DA8C8,Arthur "Big Boy" Crudup,Rock Me Mama
1960,TROBDWO128F42640A0,Arthur "Big Boy" Crudup,Mean Ol' Frisco
1960,TROSKQN128F42640A9,Arthur "Big Boy" Crudup,Dig Myself A Hole
1960,TRGODPK128F92CB2A0,Arthur Big Boy Crudup,Im In The Mood
1960,TRNHCAX128F92CB2B2,Arthur Big Boy Crudup,My Mama Dont Allow Me
1960,TRPNRWF128F92CB2A8,Arthur Big Boy Crudup,Dig Myself A Hole
1960,TRDNHON128F92CB2AD,Arthur Big Boy Crudup,I Love Her Just The Same
1960,TRRGETS12903D03916,Ben E. King,Spanish Harlem
1960,TRORUCA128F92E3BCA,Ben E. King,Spanish Harlem
1960,TRWOTLR128F92F6941,Bo Diddley,Let Me In
1960,TRBWDWT128F92F5BBE,Bo Diddley,Roadrunner
1960,TRFVLOB128F92F691B,Bo Diddley,Nursery Rhyme
1960,TRPNLAT128F92F6940,Bo Diddley,Let Me In
1960,TRUICMW128F92F6942,Bo Diddley,Let Me In
1960,TRUJEFE128F92F6923,Bo Diddley,She's Alright
1960,TRLUMJX128F92F691F,Bo Diddley,I Love You So
1960,TRJTKWB128F92F6922,Bo Diddley,She's Alright
1960,TRDWCMH128F92F6918,Bo Diddley,Come On Baby
1960,TRWFLMW128F92D3531,Brenda Lee,Dynamite
1960,TRBIXMG128F4222D7F,Brenda Lee,Love Is Unfair (LP Version)
1960,TRIGYTP128F4222D87,Brenda Lee,Standing Tall (LP Version)
1960,TRAWUMN128F4222D88,Brenda Lee,Your One And Only (LP Version)
1960,TRAZYPQ128F1456A06,Brenda Lee,Sweet Nothin's
1960,TRAONAP128F145672D,Brenda Lee,I'm Sorry
1960,TRAYWSL128F4222D80,Brenda Lee,Against My Will (LP Version)
1960,TRPJVET128F92DE5CE,Brenda Lee,That's All You Gotta Do
1960,TREGNWO128F4222D7D,Brenda Lee,Once Love Makes A Fool Of You (LP Version)
1960,TRVNDUB12903CDCF45,Brenda Lee,That's All You Gotta Do
1960,TRYUEQO128F92DE5CB,Brenda Lee,Sweet Nothin's
1960,TRYJJXX128F4252EAF,Brenda Lee,Sweet Nothin's
1960,TRPYKTG128F42264DE,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini
1960,TRLQULG128F92D3813,Brian Hyland,Rosemary
1960,TRJMVVI128F92E1D9E,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini
1960,TRPHUFC128F92D623C,Brook Benton,The Same One
1960,TRJYPNU128F1498992,Brook Benton,I Don't Know Enough About You
1960,TRVHZMD12903CA0987,Brook Benton,The Same One
1960,TRZPVNK128F14768E9,Buddy Holly,Learning The Game
1960,TRNQXED128F9350170,Buddy Holly,Learning The Game
1960,TRTQWAT128F42596D8,Buddy Holly,True Love Ways
1960,TRFMJEK12903CDC938,Cannonball Adderley,The Sleeper
1960,TROXSVH12903CDC934,Cannonball Adderley & John Coltrane,You're A Weaver Of Dreams
1960,TRCDYMQ128F14A4550,Cannonball Adderley / John Coltrane,The Sleeper
1960,TRAZWOJ128F4289269,Cannonball Adderley / John Coltrane,The Sleeper
1960,TRTEYFS128F1498E60,Cannonball Adderley / John Coltrane,Stars Fell On Alabama
1960,TRTXXLT128F4289261,Cannonball Adderley / John Coltrane,Wabash
1960,TRETUQJ128F1498E5F,Cannonball Adderley / John Coltrane,Limehouse Blues
1960,TRJQGBS128F4289265,Cannonball Adderley / John Coltrane,Grand Central
1960,TRXUBOJ128F92CFC92,Cannonball Adderley / John Coltrane,Limehouse Blues
1960,TRVFGMR128F9318043,Chantels,Never Let Go
1960,TRBAVSL128F4279C36,Charles Mingus,Original Faubus Fables
1960,TRQVFEN128F92E5589,Charles Mingus,Mood Indigo
